slug,targetWordCount,assignedWordCount,reusedFromSeed,importedByThisBatch
basic-communication-daily-life,100,100,2,98
personal-identity-forms,100,100,1,99
family-social-relations,100,100,1,99
time-calendar-planning,100,100,5,95
housing-city-services,100,100,0,100
travel-tourism-mobility,100,100,1,99
food-restaurant-hospitality,100,100,0,100
shopping-retail-consumer-goods,100,100,2,98
health-body-wellbeing,100,100,1,99
education-language-training,100,100,0,100
media-culture-sports-leisure,100,100,2,98
nature-weather-environment,100,100,0,100
work-office-communication,100,100,2,98
management-projects-meetings,100,100,3,97
hr-recruitment-work-culture,100,100,2,98
business-commerce-strategy,100,100,7,93
sales-crm-customer-service,100,100,5,95
marketing-advertising-content,100,100,4,96
finance-accounting-controlling,100,100,1,99
banking-payments-insurance,100,100,1,99
law-contracts-compliance,100,100,3,97
government-immigration-official-matters,100,100,3,97
procurement-supplier-management,100,100,3,97
product-catalog-pricing-master-data,100,100,2,98
warehouse-inventory-stock-movements,100,100,4,96
logistics-transport-supply-chain,100,100,0,100
manufacturing-production-materials,100,100,3,97
quality-management-inspection,100,100,4,96
retail-pos-ecommerce,100,100,2,98
erp-business-processes,100,100,4,96
it-digital-tools-support,100,100,3,97
data-analytics-reporting,100,100,2,98
programming-software-engineering,100,100,8,92
web-api-database-devops,100,100,5,95
cybersecurity-privacy-access-control,100,100,1,99
ai-automation-smart-systems,100,100,1,99
engineering-construction-real-estate,100,100,2,98
medical-healthcare-pharmacy,100,100,1,99
science-research-academia,100,100,0,100
emergency-safety-police-risk,100,100,1,99
